% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 81.50    0.009202        3067         3           wait4
  3.64    0.000411           8        49        32 access
  3.38    0.000382          16        24           lstat
  2.44    0.000276          15        19        12 openat
  2.29    0.000258           5        57        25 stat
  0.82    0.000093          16         6           mmap
  0.81    0.000091          11         8           readlink
  0.74    0.000083           9         9           rt_sigaction
  0.66    0.000074          19         4           mprotect
  0.45    0.000051          17         3           unlink
  0.42    0.000047           7         7           close
  0.40    0.000045          11         4           brk
  0.40    0.000045          15         3           vfork
  0.38    0.000043          11         4           fstat
  0.36    0.000041          14         3           getpid
  0.31    0.000035          12         3           read
  0.29    0.000033          11         3           ioctl
  0.27    0.000030          30         1           munmap
  0.19    0.000022          11         2           getcwd
  0.18    0.000020          10         2           prlimit64
  0.08    0.000009           9         1           arch_prctl
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.011291                   216        69 total
